Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,RMSE,CRMSE,BIAS,Rs,pval
2014-07-16 12:00:00,1,2017-09-16 12:00:00,2015-09-03 12:00:00,2017-09-17 12:00:00,2016-08-02 12:00:00,2014-08-07 12:00:00,80.5613096150896,65.3283254328706,-47.141642981925,0.985063622280669,8.53E-37
2014-07-17 12:00:00,2,2014-09-21 12:00:00,2015-09-02 12:00:00,2014-06-15 12:00:00,2014-05-10 12:00:00,2015-07-08 12:00:00,34.8722792811344,29.9326231834967,-17.8917280220843,0.999151724767106,2.21E-65
2014-07-18 12:00:00,1,2014-08-24 12:00:00,2014-07-19 12:00:00,2015-07-11 12:00:00,2014-08-22 12:00:00,2016-09-14 12:00:00,49.2548512808563,47.9830661097785,-11.1205099435184,0.996343639821335,8.42E-51
2014-07-19 12:00:00,1,2016-08-21 12:00:00,2016-08-01 12:00:00,2014-08-22 12:00:00,2014-07-18 12:00:00,2014-07-30 12:00:00,227.956035510974,188.65970537498,127.951044129019,0.946998946998947,2.54E-24
2014-07-20 12:00:00,2,2016-08-19 12:00:00,2017-07-13 12:00:00,2014-07-15 12:00:00,2017-08-07 12:00:00,2017-08-18 12:00:00,87.9800522598266,87.3209139911716,-10.749305809597,0.993915993915994,1.00E-45
2014-07-21 12:00:00,2,2014-07-22 12:00:00,2017-08-18 12:00:00,2016-08-19 12:00:00,2016-08-22 12:00:00,2016-09-07 12:00:00,22.2020732847035,21.626576830944,-5.02227365987005,0.999531999532,2.54E-71
2014-07-22 12:00:00,2,2016-09-07 12:00:00,2016-08-22 12:00:00,2014-07-21 12:00:00,2016-08-19 12:00:00,2017-08-18 12:00:00,34.423259988692,30.9031688868673,-15.1642665829523,0.998917717688291,5.98E-63
2014-07-23 12:00:00,2,2014-08-25 12:00:00,2015-08-06 12:00:00,2014-08-18 12:00:00,2016-07-25 12:00:00,2017-09-06 12:00:00,60.5715514766784,47.3570350531979,-37.7653820219271,0.997425997425998,2.66E-54
2014-07-24 12:00:00,0,2017-07-07 12:00:00,2015-08-14 12:00:00,2017-07-08 12:00:00,2015-08-13 12:00:00,2016-06-19 12:00:00,33.1312642620159,30.1969117608003,-13.6318447654737,0.999151724767106,2.21E-65
2014-07-25 12:00:00,2,2017-09-08 12:00:00,2017-07-15 12:00:00,2016-08-29 12:00:00,2014-08-19 12:00:00,2017-07-05 12:00:00,174.971565400339,153.90429725656,83.2377077087643,0.966917249660444,6.17E-29
2014-07-26 12:00:00,2,2014-05-08 12:00:00,2016-08-11 12:00:00,2016-08-09 12:00:00,2016-08-08 12:00:00,2016-08-07 12:00:00,84.3172031262877,83.9023126607292,8.35420093251827,0.993974143162434,8.03E-46
2014-07-27 12:00:00,2,2017-07-25 12:00:00,2017-09-10 12:00:00,2015-09-28 12:00:00,2014-07-28 12:00:00,2017-09-06 12:00:00,168.339699875103,146.356577552063,83.1745559728861,0.984087984087984,3.62E-36
2014-07-28 12:00:00,2,2016-07-25 12:00:00,2015-08-06 12:00:00,2017-09-10 12:00:00,2017-09-06 12:00:00,2014-07-27 12:00:00,93.7371387014353,73.6781455201919,-57.9498235082519,0.994032994032994,6.41E-46
2014-07-29 12:00:00,0,2014-09-26 12:00:00,2014-07-05 12:00:00,2015-08-13 12:00:00,2015-06-28 12:00:00,2014-08-27 12:00:00,40.4840856630861,37.4518923040701,-15.3726040351148,0.995085995085995,7.45E-48
2014-07-30 12:00:00,1,2016-08-21 12:00:00,2016-07-20 12:00:00,2014-07-19 12:00:00,2016-08-01 12:00:00,2016-08-13 12:00:00,45.2738544265524,37.7031521348675,-25.0638028585387,0.997308841582696,7.38E-54
2014-07-31 12:00:00,0,2014-05-01 12:00:00,2016-09-29 12:00:00,2016-09-28 12:00:00,2016-09-27 12:00:00,2016-09-26 12:00:00,38.2441167743992,31.2916520046322,-21.987382351587,0.992072629672339,4.32E-43
2014-08-01 12:00:00,2,2017-07-22 12:00:00,2015-08-02 12:00:00,2017-08-12 12:00:00,2014-07-09 12:00:00,2015-08-01 12:00:00,71.0291464464852,62.5626617792189,-33.6311313519975,0.993886565493785,1.12E-45
2014-08-02 12:00:00,2,2014-08-18 12:00:00,2017-07-15 12:00:00,2015-06-27 12:00:00,2017-09-29 12:00:00,2016-07-25 12:00:00,269.388089765808,206.49267696113,173.004963134292,0.94992394992395,7.10E-25
2014-08-03 12:00:00,1,2014-09-08 12:00:00,2015-07-20 12:00:00,2017-09-04 12:00:00,2014-07-07 12:00:00,2014-08-22 12:00:00,209.860270335211,173.117675043475,118.623790416213,0.961387704213553,2.03E-27
2014-08-04 12:00:00,2,2014-08-21 12:00:00,2014-07-27 12:00:00,2017-07-25 12:00:00,2017-09-06 12:00:00,2014-07-28 12:00:00,80.6233935615633,67.3795597853194,-44.273316032564,0.994032994032994,6.41E-46
2014-08-05 12:00:00,2,2016-08-17 12:00:00,2015-07-13 12:00:00,2014-06-04 12:00:00,2015-07-26 12:00:00,2015-09-23 12:00:00,8.46977914245569,7.99471105755085,-2.79673985709286,0.999648999649,3.41E-74
